id,nama_lengkap,nim,fakultas,no_telepon,alamat_kirim,avatar_url,created_at
a0000000-0000-0000-0000-000000000000,Administrator Sistem,admin,Perpustakawan,080000000000,Gedung Perpustakaan Pusat,https://api.dicebear.com/7.x/avataaars/svg?seed=Admin,2026-06-25T10:00:00Z
550e8400-e29b-41d4-a716-446655440001,Budi Santoso,220194851,Informatika,081111111111,Jl. Merdeka No. 1,https://api.dicebear.com/7.x/avataaars/svg?seed=Budi,2026-06-25T10:05:00Z
550e8400-e29b-41d4-a716-446655440002,Siti Aminah,220194852,Sistem Informasi,082222222222,Jl. Sudirman No. 2,https://api.dicebear.com/7.x/avataaars/svg?seed=Siti,2026-06-25T10:10:00Z
550e8400-e29b-41d4-a716-446655440003,Andi Pratama,220194853,Teknik Elektro,083333333333,Jl. Thamrin No. 3,https://api.dicebear.com/7.x/avataaars/svg?seed=Andi,2026-06-25T10:15:00Z
550e8400-e29b-41d4-a716-446655440004,Rina Melati,220194854,Manajemen,084444444444,Jl. Gajah Mada No. 4,https://api.dicebear.com/7.x/avataaars/svg?seed=Rina,2026-06-25T10:20:00Z
550e8400-e29b-41d4-a716-446655440005,Reza Rahadian,220194855,Ilmu Komunikasi,085555555555,Jl. Diponegoro No. 5,https://api.dicebear.com/7.x/avataaars/svg?seed=Reza,2026-06-25T10:25:00Z
550e8400-e29b-41d4-a716-446655440006,Maya Sari,220194856,Psikologi,086666666666,Jl. Veteran No. 6,https://api.dicebear.com/7.x/avataaars/svg?seed=Maya,2026-06-25T10:30:00Z
550e8400-e29b-41d4-a716-446655440007,Fajar Hidayat,220194857,Teknik Mesin,087777777777,Jl. Pemuda No. 7,https://api.dicebear.com/7.x/avataaars/svg?seed=Fajar,2026-06-25T10:35:00Z
550e8400-e29b-41d4-a716-446655440008,Nadia Saphira,220194858,Akuntansi,088888888888,Jl. Pahlawan No. 8,https://api.dicebear.com/7.x/avataaars/svg?seed=Nadia,2026-06-25T10:40:00Z
550e8400-e29b-41d4-a716-446655440009,Gilang Ramadhan,220194859,Sastra Inggris,089999999999,Jl. Kartini No. 9,https://api.dicebear.com/7.x/avataaars/svg?seed=Gilang,2026-06-25T10:45:00Z
550e8400-e29b-41d4-a716-446655440100,Dinda Kanya,220194860,Hukum,081010101010,Jl. Imam Bonjol No. 10,https://api.dicebear.com/7.x/avataaars/svg?seed=Dinda,2026-06-25T10:50:00Z
